regSPI_LB_DATA_PERCU_WAVE_VSPS reg:0x24e6
regSPI_LB_DATA_PERCU_WAVE_CS reg:0x24e7
regSPIS_DEBUG_READ reg:0x24ea
regBCI_DEBUG_READ reg:0x24eb
regSPI_P0_TRAP_SCREEN_PSBA_LO reg:0x24ec
regSPI_P0_TRAP_SCREEN_PSBA_HI reg:0x24ed
regSPI_P0_TRAP_SCREEN_PSMA_LO reg:0x24ee
regSPI_P0_TRAP_SCREEN_PSMA_HI reg:0x24ef
regSPI_P0_TRAP_SCREEN_GPR_MIN reg:0x24f0
regSPI_P1_TRAP_SCREEN_PSBA_LO reg:0x24f1
regSPI_P1_TRAP_SCREEN_PSBA_HI reg:0x24f2
regSPI_P1_TRAP_SCREEN_PSMA_LO reg:0x24f3
regSPI_P1_TRAP_SCREEN_PSMA_HI reg:0x24f4
regSPI_P1_TRAP_SCREEN_GPR_MIN reg:0x24f5
regTD_CNTL reg:0x2525
regTD_STATUS reg:0x2526
regTD_POWER_CNTL reg:0x252a
regTD_UE_EDC_LO reg:0x252b
regTD_UE_EDC_HI reg:0x252c
regTD_CE_EDC_LO reg:0x252d
regTD_CE_EDC_HI reg:0x252e
regTD_DSM_CNTL reg:0x252f
regTD_DSM_CNTL2 reg:0x2530
regTD_SCRATCH reg:0x2533
regTA_POWER_CNTL reg:0x2540
regTA_CNTL reg:0x2541
regTA_CNTL_AUX reg:0x2542
regTA_FEATURE_CNTL reg:0x2543
regTA_STATUS reg:0x2548
regTA_SCRATCH reg:0x2564
regTA_DSM_CNTL reg:0x2584
regTA_DSM_CNTL2 reg:0x2585
regTA_UE_EDC_LO reg:0x2587
regTA_UE_EDC_HI reg:0x2588
regTA_CE_EDC_LO reg:0x2589
regTA_CE_EDC_HI reg:0x258a
regGDS_CONFIG reg:0x25c0
regGDS_CNTL_STATUS reg:0x25c1
regGDS_ENHANCE2 reg:0x25c2
regGDS_PROTECTION_FAULT reg:0x25c3
regGDS_VM_PROTECTION_FAULT reg:0x25c4
regGDS_EDC_CNT reg:0x25c5
regGDS_EDC_GRBM_CNT reg:0x25c6
regGDS_EDC_OA_DED reg:0x25c7
regGDS_DSM_CNTL reg:0x25ca
regGDS_EDC_OA_PHY_CNT reg:0x25cb
regGDS_EDC_OA_PIPE_CNT reg:0x25cc
regGDS_DSM_CNTL2 reg:0x25cd
regGDS_WD_GDS_CSB reg:0x25ce
regGDS_UE_ERR_STATUS_LO reg:0x25cf
regGDS_UE_ERR_STATUS_HI reg:0x25d0
regGDS_CE_ERR_STATUS_LO reg:0x25d1
regGDS_CE_ERR_STATUS_HI reg:0x25d2
regDB_DEBUG reg:0x260c
regDB_DEBUG2 reg:0x260d
regDB_DEBUG3 reg:0x260e
regDB_DEBUG4 reg:0x260f
regDB_CREDIT_LIMIT reg:0x2614
regDB_WATERMARKS reg:0x2615
regDB_SUBTILE_CONTROL reg:0x2616
regDB_FREE_CACHELINES reg:0x2617
regDB_FIFO_DEPTH1 reg:0x2618
regDB_FIFO_DEPTH2 reg:0x2619
regDB_EXCEPTION_CONTROL reg:0x261a
regDB_RING_CONTROL reg:0x261b
regDB_MEM_ARB_WATERMARKS reg:0x261c
regDB_RMI_CACHE_POLICY reg:0x261e
regDB_DFSM_CONFIG reg:0x2630
regDB_DFSM_WATERMARK reg:0x2631
regDB_DFSM_TILES_IN_FLIGHT reg:0x2632
regDB_DFSM_PRIMS_IN_FLIGHT reg:0x2633
regDB_DFSM_WATCHDOG reg:0x2634
regDB_DFSM_FLUSH_ENABLE reg:0x2635
regDB_DFSM_FLUSH_AUX_EVENT reg:0x2636
regCC_RB_REDUNDANCY reg:0x263c
regCC_RB_BACKEND_DISABLE reg:0x263d
regGB_ADDR_CONFIG reg:0x263e
regGB_BACKEND_MAP reg:0x263f
